SoilTestID,FarmID,TestDate,PH,Nitrogen,Phosphorus,Potassium,Moisture
377,377,2023/06/09 00:00:00,6;3,12;30,16;41,15;05,22;0
378,378,2024/08/10 00:00:00,6;5,10;78,15;48,25;33,21;7
379,379,2024/06/14 00:00:00,7;2,22;23,5;45,13;22,24;5
380,380,2024/10/02 00:00:00,7;4,25;96,10;65,19;57,11;0
381,381,2023/06/15 00:00:00,6;3,17;21,7;96,21;56,24;4
382,382,2024/06/16 00:00:00,6;2,17;50,8;24,13;66,21;0
383,383,2023/06/17 00:00:00,5;6,28;74,19;57,23;92,14;1
384,384,2023/05/14 00:00:00,6;1,23;78,9;48,10;06,15;6
385,385,2023/04/06 00:00:00,6;7,13;17,10;45,18;44,17;0
386,386,2024/07/09 00:00:00,5;9,19;38,17;35,21;84,20;0
387,387,2024/05/18 00:00:00,6;1,25;44,11;77,12;58,14;6
388,388,2024/04/04 00:00:00,5;5,23;97,9;17,15;41,13;1
389,389,2023/03/06 00:00:00,5;7,10;33,13;76,21;54,24;4
390,390,2023/02/04 00:00:00,6;3,22;90,12;77,26;11,16;9
391,391,2024/11/19 00:00:00,6;2,23;32,15;24,22;01,20;4
392,392,2023/11/24 00:00:00,7;3,14;84,11;19,25;34,19;2
393,393,2023/02/21 00:00:00,6;1,22;56,12;48,22;96,10;7
394,394,2024/09/08 00:00:00,6;8,16;26,16;04,23;25,13;4
395,395,2023/08/07 00:00:00,7;2,22;18,18;77,20;76,21;2
396,396,2024/07/26 00:00:00,5;7,24;56,15;26,24;32,19;7
397,397,2023/07/04 00:00:00,6;5,25;41,12;89,26;63,13;9
398,398,2023/08/17 00:00:00,7;5,18;36,19;52,17;57,16;2
399,399,2023/08/12 00:00:00,6;7,13;24,18;55,10;04,15;3
400,400,2024/12/19 00:00:00,5;7,21;16,12;86,16;39,11;1
401,401,2024/08/08 00:00:00,7;1,22;33,7;09,19;09,24;0
402,402,2024/12/19 00:00:00,7;5,16;49,13;20,16;59,19;3
403,403,2023/07/25 00:00:00,5;7,15;02,7;03,19;63,17;0
404,404,2024/10/26 00:00:00,7;0,26;70,15;61,24;06,19;9
405,405,2023/07/01 00:00:00,7;1,24;16,13;89,26;00,11;4
406,406,2023/06/21 00:00:00,5;8,14;53,5;22,10;62,10;6
407,407,2024/01/27 00:00:00,5;6,22;58,8;33,26;48,22;3
408,408,2023/10/08 00:00:00,7;2,14;00,15;25,11;98,11;8
409,409,2023/01/19 00:00:00,7;1,20;25,12;99,28;26,18;0
410,410,2024/10/25 00:00:00,7;0,17;69,9;63,14;85,17;7
411,411,2024/11/03 00:00:00,7;0,24;16,15;04,10;68,11;2
412,412,2024/03/18 00:00:00,7;3,16;63,19;21,27;80,17;4
413,413,2023/08/24 00:00:00,5;9,16;57,8;36,20;50,12;1
414,414,2023/06/09 00:00:00,7;1,16;01,6;08,18;76,22;5
415,415,2024/10/04 00:00:00,6;1,21;64,10;01,18;30,19;3
416,416,2024/08/04 00:00:00,6;1,27;50,19;94,14;03,21;7
417,417,2024/06/10 00:00:00,7;0,18;46,5;45,13;64,17;6
418,418,2023/12/17 00:00:00,6;0,17;21,8;14,25;58,19;3
419,419,2024/10/10 00:00:00,6;7,26;56,13;88,28;21,11;0
420,420,2023/04/07 00:00:00,6;9,12;22,8;36,15;25,12;4
421,421,2023/07/25 00:00:00,7;2,24;40,15;22,18;17,17;8
422,422,2024/08/25 00:00:00,6;7,24;53,7;59,15;14,21;6
423,423,2024/06/15 00:00:00,5;6,22;55,14;31,28;99,14;8
424,424,2024/04/15 00:00:00,5;8,25;95,11;90,17;96,12;3
425,425,2024/06/27 00:00:00,7;2,15;97,18;61,28;03,11;4
426,426,2023/11/01 00:00:00,5;9,23;41,9;39,16;78,10;6
427,427,2023/06/25 00:00:00,6;7,23;93,8;21,20;68,19;7
428,428,2024/08/10 00:00:00,6;4,12;74,8;81,24;42,11;6
429,429,2023/10/25 00:00:00,6;1,13;91,11;43,19;45,23;8
430,430,2024/06/18 00:00:00,7;1,22;18,15;97,23;04,13;4
431,431,2024/07/04 00:00:00,6;2,21;33,16;68,19;12,17;3
432,432,2024/05/07 00:00:00,6;9,21;08,12;02,29;10,12;5
433,433,2023/11/01 00:00:00,7;3,17;54,5;88,26;90,18;7
434,434,2024/12/01 00:00:00,6;0,21;68,16;35,10;69,22;8
435,435,2024/02/14 00:00:00,6;8,12;23,10;78,20;84,16;5
436,436,2023/06/10 00:00:00,7;2,13;65,16;44,17;32,11;8
437,437,2023/06/18 00:00:00,6;9,24;51,16;25,26;97,23;3
438,438,2024/07/10 00:00:00,6;7,24;98,7;92,28;07,12;3
439,439,2023/05/21 00:00:00,6;4,29;64,9;83,11;06,21;2
440,440,2023/07/16 00:00:00,7;4,23;80,19;75,18;01,13;4
441,441,2024/11/22 00:00:00,5;7,12;16,9;93,12;51,12;8
442,442,2023/08/27 00:00:00,6;6,10;77,19;24,23;69,11;8
443,443,2024/03/16 00:00:00,7;1,29;79,19;10,12;80,12;4
444,444,2023/11/10 00:00:00,5;8,13;22,18;51,13;98,20;1
445,445,2023/02/27 00:00:00,7;2,18;26,16;78,10;95,24;6
446,446,2023/08/04 00:00:00,6;3,16;94,12;52,24;11,16;2
447,447,2024/06/12 00:00:00,6;5,18;41,14;19,14;73,20;0
448,448,2024/08/20 00:00:00,5;9,29;68,19;59,10;50,15;7
449,449,2023/04/11 00:00:00,7;3,29;29,17;65,24;09,21;1
450,450,2023/08/14 00:00:00,6;3,25;86,16;33,26;22,23;7
451,451,2023/12/08 00:00:00,6;9,19;54,15;82,15;11,18;2
452,452,2024/04/02 00:00:00,7;1,11;60,17;67,29;72,14;5
453,453,2024/10/27 00:00:00,5;6,12;17,16;82,18;94,10;7
454,454,2024/09/09 00:00:00,7;2,11;89,17;51,27;48,10;2
455,455,2024/10/01 00:00:00,5;6,24;15,10;03,28;03,20;2
456,456,2023/11/01 00:00:00,6;8,25;40,18;72,23;19,14;8
457,457,2024/03/23 00:00:00,5;6,25;37,16;44,26;07,16;2
458,458,2023/03/25 00:00:00,7;1,18;19,11;41,19;04,10;8
459,459,2023/01/27 00:00:00,6;1,26;82,19;03,21;79,13;4
460,460,2024/04/01 00:00:00,6;0,25;12,17;01,15;49,22;8
461,461,2023/12/06 00:00:00,7;2,29;87,17;73,14;88,10;8
462,462,2024/08/16 00:00:00,6;5,18;24,6;62,15;35,19;2
463,463,2023/12/06 00:00:00,6;9,28;75,10;59,19;59,20;1
464,464,2024/08/05 00:00:00,6;4,25;14,13;11,23;12,20;3
465,465,2024/01/21 00:00:00,6;3,14;12,13;69,11;15,18;9
466,466,2024/12/09 00:00:00,6;0,17;43,6;53,26;30,21;4
467,467,2023/05/24 00:00:00,7;0,21;95,13;48,28;28,19;8
468,468,2024/07/07 00:00:00,6;3,23;80,16;78,15;86,16;7
469,469,2024/11/15 00:00:00,6;2,16;76,17;74,18;19,22;2
470,470,2024/08/25 00:00:00,5;5,11;53,8;45,15;99,18;0
471,471,2024/05/12 00:00:00,6;2,23;44,18;22,11;77,15;7
472,472,2023/02/25 00:00:00,6;8,16;78,15;17,28;09,10;5
473,473,2024/11/09 00:00:00,6;5,21;21,12;12,18;41,12;9
474,474,2024/01/23 00:00:00,7;5,23;47,18;56,21;49,14;2
475,475,2023/09/16 00:00:00,6;1,17;37,18;89,25;55,10;8
476,476,2024/02/05 00:00:00,5;9,28;87,16;31,19;51,13;7
477,477,2024/11/11 00:00:00,6;0,28;33,17;10,29;39,14;9
478,478,2024/03/11 00:00:00,6;7,10;61,6;48,24;13,13;8
479,479,2024/08/11 00:00:00,6;8,11;94,14;23,23;26,20;6
480,480,2023/04/19 00:00:00,6;3,15;82,8;03,14;98,13;4
481,481,2024/08/08 00:00:00,7;1,20;56,10;18,17;31,16;7
482,482,2024/04/09 00:00:00,5;8,20;79,7;39,10;48,20;4
483,483,2023/12/19 00:00:00,6;1,17;00,17;70,12;98,11;3
484,484,2023/09/05 00:00:00,6;8,12;06,13;56,10;66,21;7
485,485,2024/02/02 00:00:00,6;4,26;26,18;39,24;50,13;0
486,486,2023/12/24 00:00:00,7;2,16;12,12;77,13;37,23;7
487,487,2023/01/26 00:00:00,6;2,20;56,18;95,27;52,21;0
488,488,2023/03/17 00:00:00,7;2,13;72,15;62,16;83,12;6
489,489,2023/07/05 00:00:00,6;3,12;40,13;97,27;56,18;4
490,490,2023/06/02 00:00:00,6;3,29;18,9;64,25;65,20;2
491,491,2023/03/12 00:00:00,5;7,22;53,15;08,15;01,10;7
492,492,2023/04/27 00:00:00,6;7,15;52,17;98,10;26,18;3
493,493,2024/09/17 00:00:00,7;0,16;95,16;85,25;81,19;6
494,494,2023/05/05 00:00:00,5;6,27;40,12;29,25;45,12;2
495,495,2023/12/10 00:00:00,7;4,15;72,8;76,20;88,18;3
496,496,2023/02/03 00:00:00,7;1,22;55,8;95,15;72,15;1
497,497,2023/07/21 00:00:00,6;0,23;86,5;11,16;62,20;6
498,498,2023/10/26 00:00:00,6;0,20;32,7;96,13;49,22;0
499,499,2024/10/06 00:00:00,6;2,20;10,6;13,15;29,15;5
500,500,2023/01/14 00:00:00,5;9,23;91,19;67,10;21,23;1
501,501,2023/10/16 00:00:00,6;2,24;30,12;97,19;07,16;1
502,502,2024/08/13 00:00:00,6;5,15;90,9;49,10;72,11;2
503,503,2024/04/08 00:00:00,7;1,11;27,19;22,26;70,15;8
504,504,2023/05/02 00:00:00,6;8,20;26,6;64,10;29,17;2
505,505,2024/02/05 00:00:00,6;9,22;12,17;21,11;67,10;1
506,506,2023/10/20 00:00:00,7;2,21;93,16;44,11;45,23;1
507,507,2023/05/08 00:00:00,6;3,24;01,8;10,26;16,12;2
508,508,2024/03/04 00:00:00,6;1,19;27,17;38,27;90,17;5
509,509,2024/12/20 00:00:00,5;9,13;01,10;05,19;54,12;1
510,510,2023/04/12 00:00:00,6;0,14;33,19;71,25;79,17;2
511,511,2023/03/17 00:00:00,5;7,26;79,14;22,25;61,18;5
512,512,2023/01/20 00:00:00,6;3,23;97,16;59,20;81,18;2
513,513,2024/03/06 00:00:00,6;7,10;70,17;93,24;48,20;4
514,514,2024/02/06 00:00:00,6;4,25;48,13;04,28;63,10;0
515,515,2023/08/27 00:00:00,6;0,14;52,16;90,23;16,10;3
516,516,2023/02/26 00:00:00,5;8,22;38,6;14,18;77,16;6
517,517,2024/11/11 00:00:00,7;5,25;26,7;87,18;95,17;0
518,518,2023/11/05 00:00:00,6;9,18;57,10;31,25;86,21;1
519,519,2023/09/27 00:00:00,5;6,25;87,9;05,16;37,11;6
520,520,2024/03/11 00:00:00,7;2,28;56,13;60,11;46,22;9
521,521,2024/09/19 00:00:00,7;3,13;20,19;23,14;76,13;4
522,522,2023/07/22 00:00:00,6;1,22;51,19;27,21;86,23;0
523,523,2023/03/03 00:00:00,7;3,11;82,10;60,22;94,16;9
524,524,2024/04/11 00:00:00,6;6,26;23,13;60,20;84,23;4
525,525,2024/04/01 00:00:00,6;9,23;21,18;61,21;61,11;8
526,526,2023/10/24 00:00:00,6;1,19;39,20;00,19;56,19;4
527,527,2024/07/14 00:00:00,7;0,19;85,7;55,25;34,14;8
528,528,2023/03/09 00:00:00,7;3,20;84,15;07,18;25,19;2
529,529,2024/11/14 00:00:00,6;1,28;76,18;67,14;07,16;9
530,530,2024/12/12 00:00:00,6;2,19;88,10;44,29;87,18;5
531,531,2024/10/27 00:00:00,6;1,11;33,17;11,18;07,20;0
532,532,2024/09/16 00:00:00,6;4,21;81,15;39,21;56,22;1
533,533,2023/04/09 00:00:00,6;6,20;30,7;44,23;73,20;4
534,534,2023/01/04 00:00:00,6;6,24;91,11;55,26;53,21;0
535,535,2023/09/03 00:00:00,7;0,24;16,6;76,20;93,12;4
536,536,2024/10/21 00:00:00,6;0,16;58,16;60,27;40,23;8
537,537,2023/08/27 00:00:00,6;0,10;93,11;43,11;10,19;5
538,538,2023/04/27 00:00:00,5;5,23;70,18;08,28;37,11;6
539,539,2024/11/06 00:00:00,7;2,21;99,17;28,11;98,13;5
540,540,2024/02/02 00:00:00,6;9,17;80,11;61,17;26,18;1
541,541,2023/03/05 00:00:00,5;8,19;11,13;98,23;80,22;1
542,542,2024/06/18 00:00:00,6;4,12;67,12;89,19;52,19;4
543,543,2024/08/11 00:00:00,6;5,21;59,5;40,16;40,18;5
544,544,2024/09/14 00:00:00,7;3,17;31,10;41,14;83,19;8
545,545,2024/06/23 00:00:00,6;5,24;48,16;87,23;01,14;0
546,546,2023/05/05 00:00:00,5;8,13;08,14;95,11;96,12;9
547,547,2024/06/22 00:00:00,6;9,11;20,18;19,29;18,12;2
548,548,2024/08/17 00:00:00,6;9,11;81,16;99,18;84,15;0
549,549,2023/01/15 00:00:00,6;9,23;63,19;91,28;10,11;7
550,550,2023/02/09 00:00:00,5;9,27;50,7;73,18;21,22;8
551,551,2024/04/06 00:00:00,7;4,21;38,12;76,21;91,10;4
552,552,2023/09/17 00:00:00,5;8,13;67,19;18,13;53,15;3
553,553,2024/10/25 00:00:00,5;8,12;73,11;14,20;24,20;3
554,554,2024/09/20 00:00:00,7;4,21;05,16;49,15;49,20;5
555,555,2023/10/02 00:00:00,7;1,21;77,12;67,25;25,20;5
556,556,2023/06/06 00:00:00,7;5,17;89,16;46,28;54,11;1
557,557,2024/12/07 00:00:00,5;6,15;30,8;98,24;39,13;6
558,558,2024/07/11 00:00:00,7;3,26;18,14;74,19;55,20;8
559,559,2023/11/27 00:00:00,6;4,27;83,11;02,25;36,16;5
560,560,2023/03/20 00:00:00,6;8,14;12,12;89,15;84,21;5
561,561,2024/08/01 00:00:00,6;7,20;33,8;29,18;71,23;6
562,562,2023/10/27 00:00:00,5;6,12;20,18;13,27;88,21;5
563,563,2023/06/16 00:00:00,6;5,25;94,12;42,13;58,18;0
564,564,2023/10/27 00:00:00,5;6,20;68,6;19,10;74,14;2
565,565,2023/08/04 00:00:00,5;8,22;82,18;44,14;06,13;0
566,566,2023/01/11 00:00:00,5;7,18;57,15;57,16;46,12;7
567,567,2023/12/17 00:00:00,6;9,29;19,16;95,29;37,13;9
568,568,2023/06/11 00:00:00,6;9,14;44,10;77,17;47,24;3
569,569,2024/09/23 00:00:00,6;4,24;84,15;84,12;47,11;9
570,570,2023/05/01 00:00:00,7;0,11;90,6;47,12;16,17;5
571,571,2023/10/20 00:00:00,6;6,19;18,9;73,16;34,16;5
572,572,2024/11/20 00:00:00,5;8,20;35,12;54,29;58,11;2
573,573,2024/06/09 00:00:00,7;0,27;48,17;74,18;80,19;0
574,574,2024/06/12 00:00:00,6;7,25;30,8;47,13;29,15;4
575,575,2023/11/06 00:00:00,6;3,23;09,17;10,19;87,16;9
576,576,2023/05/22 00:00:00,7;2,10;20,19;32,22;12,21;7
577,577,2023/12/02 00:00:00,6;8,25;81,10;64,22;49,19;7
578,578,2023/02/20 00:00:00,7;4,27;47,15;84,23;43,16;5
579,579,2024/05/22 00:00:00,6;8,15;91,13;58,18;49,23;2
580,580,2024/11/10 00:00:00,6;5,10;85,13;57,21;76,23;3
581,581,2024/08/06 00:00:00,7;1,13;59,12;75,21;40,24;8
582,582,2023/07/01 00:00:00,6;5,11;65,12;97,21;70,19;8
583,583,2024/05/05 00:00:00,6;8,12;99,19;54,19;64,22;2
584,584,2024/03/19 00:00:00,7;4,10;44,7;17,22;03,22;1
585,585,2024/11/02 00:00:00,5;9,20;29,17;90,15;13,12;9
586,586,2024/10/11 00:00:00,7;0,20;81,18;53,25;93,16;3
587,587,2023/09/21 00:00:00,6;8,18;24,18;95,24;78,23;8
588,588,2023/05/08 00:00:00,5;5,26;47,14;42,29;33,11;7
589,589,2024/03/27 00:00:00,6;0,19;20,10;64,12;83,22;9
590,590,2023/12/24 00:00:00,6;2,21;76,16;24,15;48,19;4
591,591,2023/04/19 00:00:00,6;1,17;76,18;95,17;84,19;2
592,592,2023/02/01 00:00:00,5;7,21;54,8;74,17;37,12;3
593,593,2024/04/21 00:00:00,6;1,28;49,13;24,29;26,23;3
594,594,2024/11/16 00:00:00,6;4,11;08,11;09,16;68,16;5
595,595,2023/08/18 00:00:00,6;6,29;00,14;64,24;46,10;5
596,596,2024/05/05 00:00:00,6;1,16;97,5;32,15;72,23;0
597,597,2024/09/14 00:00:00,6;1,29;56,19;42,24;04,22;4
598,598,2023/10/21 00:00:00,6;5,17;43,19;21,21;20,20;4
599,599,2024/08/01 00:00:00,7;3,22;34,17;23,14;08,13;1
600,600,2024/09/13 00:00:00,6;6,17;95,14;79,20;79,18;0
601,601,2024/09/23 00:00:00,6;2,28;46,5;24,19;09,12;4
602,602,2024/10/07 00:00:00,5;8,27;49,8;43,23;20,23;3
603,603,2024/06/14 00:00:00,7;0,10;41,10;48,14;95,21;7
604,604,2024/04/21 00:00:00,6;0,19;69,7;12,18;57,19;8
605,605,2023/03/24 00:00:00,6;9,12;02,8;42,25;34,22;0
606,606,2023/11/27 00:00:00,7;1,21;40,5;67,16;67,14;8
607,607,2023/08/21 00:00:00,7;4,13;15,16;79,20;29,13;6
608,608,2023/01/22 00:00:00,6;8,14;90,8;24,23;48,22;2
609,609,2023/08/25 00:00:00,6;8,16;86,19;74,25;75,18;6
610,610,2024/09/17 00:00:00,5;9,17;97,11;54,14;26,17;1
611,611,2024/06/05 00:00:00,7;3,17;67,12;38,19;95,17;0
612,612,2024/08/07 00:00:00,5;6,18;29,6;79,21;09,23;9
613,613,2023/02/12 00:00:00,7;5,12;72,15;37,29;51,11;5
614,614,2024/03/07 00:00:00,6;4,13;46,10;03,26;89,10;2
615,615,2024/05/20 00:00:00,7;1,11;15,16;66,18;60,23;3
616,616,2023/06/25 00:00:00,6;9,25;02,16;24,13;22,18;6
617,617,2023/09/01 00:00:00,6;0,10;04,8;51,16;76,13;8
618,618,2023/01/03 00:00:00,5;9,15;01,5;54,15;83,15;7
619,619,2024/03/06 00:00:00,5;6,18;26,16;43,27;33,15;9
620,620,2024/07/24 00:00:00,6;9,25;35,9;13,16;92,10;8
621,621,2023/08/09 00:00:00,6;5,16;48,13;98,10;17,19;2
622,622,2023/06/09 00:00:00,7;5,23;61,8;43,22;69,10;9
623,623,2023/07/25 00:00:00,6;6,21;23,6;29,13;25,15;7
624,624,2024/08/15 00:00:00,6;4,16;95,14;69,19;67,13;0
625,625,2024/01/05 00:00:00,6;7,24;29,17;11,11;17,13;0
626,626,2023/07/02 00:00:00,7;4,18;94,18;06,24;20,17;4
627,627,2024/10/15 00:00:00,6;0,17;48,17;24,19;79,24;0
628,628,2024/12/18 00:00:00,6;9,11;53,13;33,15;37,15;3
629,629,2024/02/08 00:00:00,6;8,10;98,5;76,16;85,15;2
630,630,2023/09/09 00:00:00,7;5,10;27,8;07,28;64,24;3
631,631,2024/01/15 00:00:00,6;5,12;12,8;86,26;55,23;5
632,632,2024/03/03 00:00:00,7;0,12;91,10;32,12;47,19;9
633,633,2023/09/27 00:00:00,6;2,21;80,6;13,18;92,23;0
634,634,2023/03/21 00:00:00,6;8,19;97,12;50,28;44,14;5
635,635,2023/09/22 00:00:00,5;6,10;34,16;25,15;00,20;7
636,636,2023/05/03 00:00:00,7;1,29;41,13;55,13;99,11;9
637,637,2024/08/19 00:00:00,6;1,14;39,13;98,17;23,22;5
638,638,2024/09/01 00:00:00,7;3,20;29,7;32,18;01,10;8
639,639,2023/10/21 00:00:00,6;4,21;23,6;11,22;80,18;3
640,640,2023/04/02 00:00:00,5;9,29;95,14;62,27;88,23;7
641,641,2024/08/03 00:00:00,7;2,26;29,14;38,11;60,16;2
642,642,2023/12/13 00:00:00,6;2,24;36,10;09,14;00,12;0
643,643,2024/01/14 00:00:00,5;9,26;17,16;46,21;33,17;6
644,644,2023/02/23 00:00:00,7;4,21;01,7;29,26;75,24;1
645,645,2024/02/25 00:00:00,7;3,11;21,13;43,14;84,20;4
646,646,2024/05/03 00:00:00,6;7,22;12,9;46,26;71,11;9
647,647,2023/12/07 00:00:00,7;5,13;18,15;56,12;16,13;5
648,648,2023/08/23 00:00:00,6;9,25;91,6;97,27;23,12;9
649,649,2023/07/16 00:00:00,6;7,18;49,9;50,11;41,16;3
650,650,2024/10/14 00:00:00,6;4,23;56,19;45,27;96,20;8
651,651,2023/09/24 00:00:00,6;8,28;50,17;93,25;61,11;1
652,652,2023/09/24 00:00:00,6;4,24;87,13;40,28;03,18;5
653,653,2023/11/14 00:00:00,5;7,24;70,8;49,24;06,21;6
654,654,2024/10/06 00:00:00,6;2,14;30,14;74,21;07,11;3
655,655,2024/02/11 00:00:00,5;7,15;06,8;42,15;42,13;9
656,656,2024/06/17 00:00:00,7;0,18;95,14;01,23;50,13;3
657,657,2024/12/27 00:00:00,7;1,19;60,17;31,29;75,11;0
658,658,2024/02/22 00:00:00,5;7,23;34,11;11,27;23,15;4
659,659,2023/10/21 00:00:00,6;8,13;50,17;13,16;34,13;9
660,660,2024/03/09 00:00:00,6;0,22;74,19;43,16;46,13;7
661,661,2023/12/14 00:00:00,6;1,23;58,16;48,22;09,23;1
662,662,2023/04/03 00:00:00,5;8,18;82,7;33,21;82,15;1
663,663,2024/03/17 00:00:00,6;9,26;46,5;41,10;90,11;1
664,664,2024/09/05 00:00:00,6;0,19;81,16;08,18;55,10;6
665,665,2024/07/27 00:00:00,6;9,28;37,13;48,23;57,15;5
666,666,2023/11/15 00:00:00,7;2,24;32,7;57,26;38,16;9
667,667,2024/12/17 00:00:00,6;3,17;03,14;65,18;47,11;6
668,668,2024/05/19 00:00:00,7;4,21;91,10;23,17;63,15;5
669,669,2024/01/10 00:00:00,7;3,13;47,18;48,18;43,10;9
670,670,2024/03/14 00:00:00,7;3,19;77,7;86,17;19,16;5
671,671,2024/09/17 00:00:00,6;5,12;28,5;43,23;73,12;1
672,672,2023/11/21 00:00:00,6;5,27;45,15;65,25;39,22;2
673,673,2024/03/26 00:00:00,6;8,26;21,18;78,15;80,21;0
674,674,2024/07/23 00:00:00,5;7,12;54,12;60,22;36,21;1
675,675,2023/04/03 00:00:00,7;3,24;54,18;22,15;11,23;0
676,676,2023/03/22 00:00:00,6;1,12;72,18;74,13;74,22;7
677,677,2023/09/11 00:00:00,6;1,14;56,15;47,22;41,24;6
678,678,2023/11/26 00:00:00,6;6,13;79,13;72,10;28,19;2
679,679,2023/01/13 00:00:00,6;7,22;66,18;20,11;76,19;6
680,680,2024/02/08 00:00:00,6;7,12;71,19;88,21;97,19;8
681,681,2023/12/17 00:00:00,6;4,12;28,9;48,20;22,15;3
682,682,2024/02/13 00:00:00,7;2,28;99,15;60,23;49,21;8
683,683,2023/03/02 00:00:00,5;7,19;27,13;65,14;32,18;9
684,684,2024/09/11 00:00:00,5;8,18;10,5;45,26;74,16;4
685,685,2023/04/05 00:00:00,5;9,29;05,13;83,19;93,24;4
686,686,2024/02/27 00:00:00,6;6,18;15,8;72,23;87,13;1
687,687,2023/07/11 00:00:00,7;4,29;05,12;29,13;79,22;0
688,688,2024/01/22 00:00:00,6;2,27;86,10;72,29;00,19;2
689,689,2023/01/15 00:00:00,6;8,20;72,12;13,26;70,19;3
690,690,2024/01/17 00:00:00,6;2,22;17,15;32,13;78,15;5
691,691,2023/03/20 00:00:00,7;3,22;90,18;12,19;44,22;0
692,692,2023/05/12 00:00:00,7;3,25;56,6;97,11;32,12;0
693,693,2023/05/08 00:00:00,6;2,23;95,5;34,23;42,24;2
694,694,2024/10/08 00:00:00,7;2,27;72,17;34,13;87,11;3
695,695,2024/06/09 00:00:00,6;9,23;53,5;76,29;34,15;9
696,696,2024/09/16 00:00:00,5;8,11;02,18;72,26;78,18;2
697,697,2023/06/06 00:00:00,6;0,18;55,17;45,23;36,10;5
698,698,2024/10/07 00:00:00,7;3,21;76,14;00,28;34,14;0
699,699,2023/05/03 00:00:00,6;2,26;44,10;57,19;09,11;4
700,700,2023/11/22 00:00:00,7;4,18;83,12;57,27;96,21;3
701,701,2024/09/24 00:00:00,6;3,22;05,19;12,23;18,10;2
702,702,2024/04/05 00:00:00,7;3,26;45,6;36,26;10,24;7
703,703,2024/04/27 00:00:00,6;9,26;75,12;59,24;46,19;6
704,704,2023/02/24 00:00:00,6;6,10;96,15;78,21;83,10;3
705,705,2024/06/26 00:00:00,7;2,24;84,12;51,23;28,13;5
706,706,2024/01/16 00:00:00,6;6,14;09,13;02,15;46,14;5
707,707,2023/10/04 00:00:00,5;8,20;27,7;78,28;39,16;3
708,708,2023/03/11 00:00:00,6;5,11;58,6;48,29;29,10;9
709,709,2024/02/02 00:00:00,6;2,12;87,19;37,14;70,15;0
710,710,2024/10/01 00:00:00,7;0,29;01,7;66,18;76,17;2
711,711,2024/07/14 00:00:00,6;0,22;02,11;97,20;19,20;1
712,712,2024/07/23 00:00:00,6;6,11;99,7;79,13;11,18;7
713,713,2023/06/24 00:00:00,5;6,19;47,18;83,13;10,11;6
714,714,2024/10/13 00:00:00,7;0,13;06,7;20,19;45,22;6
715,715,2024/12/17 00:00:00,6;5,22;01,15;83,19;15,13;3
716,716,2024/05/22 00:00:00,6;7,12;59,15;63,14;62,17;0
717,717,2024/06/19 00:00:00,6;4,16;34,10;67,10;15,23;9
718,718,2023/05/19 00:00:00,7;1,29;78,16;28,20;41,16;1
719,719,2023/12/21 00:00:00,5;9,21;19,14;61,29;60,15;7
720,720,2023/08/12 00:00:00,5;7,12;48,13;04,29;48,22;9
721,721,2024/01/05 00:00:00,6;9,19;47,5;30,20;49,16;0
722,722,2024/09/03 00:00:00,5;9,10;98,14;66,14;62,23;2
723,723,2024/05/16 00:00:00,5;8,29;19,5;77,28;11,24;4
724,724,2023/04/12 00:00:00,6;9,29;04,18;83,26;10,23;1
725,725,2023/10/07 00:00:00,7;5,21;90,17;29,28;65,10;5
726,726,2023/05/08 00:00:00,7;2,20;69,16;61,16;58,15;9
727,727,2023/07/06 00:00:00,7;0,29;36,17;48,28;04,17;6
728,728,2023/03/07 00:00:00,5;9,22;14,17;72,18;94,24;9
729,729,2024/03/22 00:00:00,6;0,17;75,8;79,15;76,10;7
730,730,2023/07/19 00:00:00,6;7,25;70,5;66,18;50,20;5
731,731,2024/01/08 00:00:00,6;3,24;10,6;10,28;09,18;8
732,732,2024/10/24 00:00:00,6;3,21;81,16;31,18;49,19;2
733,733,2024/04/27 00:00:00,6;1,29;75,6;36,10;17,12;3
734,734,2023/03/08 00:00:00,6;4,13;05,9;39,24;40,10;9
735,735,2024/07/06 00:00:00,6;7,21;62,5;57,15;71,22;3
736,736,2023/03/09 00:00:00,6;8,17;61,18;35,19;15,20;6
737,737,2023/01/20 00:00:00,6;5,11;50,6;85,24;21,23;1
738,738,2023/02/05 00:00:00,6;6,26;02,12;10,18;72,19;2
739,739,2023/10/17 00:00:00,5;6,20;83,17;51,10;69,23;0
740,740,2024/02/27 00:00:00,7;1,25;24,10;59,25;52,15;5
741,741,2024/07/09 00:00:00,5;7,21;73,8;17,29;74,19;7
742,742,2024/05/16 00:00:00,6;4,27;68,16;26,10;37,22;8
743,743,2024/09/17 00:00:00,6;6,15;29,10;97,13;29,14;2
744,744,2023/11/14 00:00:00,7;4,13;01,18;80,12;27,19;5
745,745,2023/10/23 00:00:00,6;0,13;06,10;21,10;59,22;3
746,746,2024/12/07 00:00:00,5;9,15;04,13;46,29;62,13;6
747,747,2023/02/01 00:00:00,5;6,25;38,8;08,12;01,14;7
748,748,2023/01/02 00:00:00,7;0,23;87,5;92,19;96,23;5
749,749,2023/12/04 00:00:00,5;7,28;54,16;75,24;05,16;2
750,750,2024/10/21 00:00:00,6;1,13;18,19;40,10;50,17;0
751,751,2024/04/22 00:00:00,5;6,27;84,5;97,27;32,11;9
752,752,2024/07/23 00:00:00,5;7,15;78,9;27,12;54,21;4
753,753,2023/05/27 00:00:00,6;1,18;56,18;29,16;27,15;2
