FeedingLogID,LivestockID,FeedType,QuantityKg,FedOn
1,1,Maize,6;18,2023/04/12 00:00:00
15929,3186,Silage,9;72,2022/01/07 00:00:00
15930,3186,Lucerne,12;19,2021/10/13 00:00:00
15931,3187,Silage,8;17,2024/05/14 00:00:00
15932,3187,Maize,14;76,2025/01/08 00:00:00
15933,3187,Silage,13;69,2023/12/20 00:00:00
15934,3187,Maize,7;35,2024/03/25 00:00:00
15935,3187,Lucerne,6;86,2023/08/26 00:00:00
15936,3188,Grass,5;81,2024/03/03 00:00:00
15937,3188,Lucerne,11;95,2024/03/04 00:00:00
15938,3188,Maize,10;07,2022/11/21 00:00:00
15939,3188,Maize,6;40,2022/07/22 00:00:00
15940,3188,Maize,12;43,2023/04/10 00:00:00
15941,3189,Lucerne,5;53,2022/01/08 00:00:00
15942,3189,Grass,10;08,2021/11/19 00:00:00
15943,3189,Grass,14;86,2022/04/26 00:00:00
15944,3189,Maize,6;88,2020/10/15 00:00:00
15945,3189,Silage,10;93,2021/09/24 00:00:00
15946,3190,Lucerne,7;82,2023/05/02 00:00:00
15947,3190,Maize,5;39,2022/10/21 00:00:00
15948,3190,Lucerne,5;14,2022/02/28 00:00:00
15949,3190,Lucerne,11;61,2023/07/16 00:00:00
15950,3190,Grass,5;65,2023/08/02 00:00:00
15951,3191,Lucerne,10;99,2021/07/05 00:00:00
15952,3191,Lucerne,11;70,2021/08/10 00:00:00
15953,3191,Maize,10;25,2022/06/24 00:00:00
15954,3191,Silage,14;97,2021/06/15 00:00:00
15955,3191,Grass,7;21,2022/03/06 00:00:00
15956,3192,Lucerne,7;30,2024/05/31 00:00:00
15957,3192,Maize,13;23,2024/04/25 00:00:00
15958,3192,Silage,6;36,2024/01/18 00:00:00
15959,3192,Grass,5;09,2022/11/18 00:00:00
15960,3192,Lucerne,9;48,2024/04/18 00:00:00
15961,3193,Lucerne,5;42,2023/12/17 00:00:00
15962,3193,Grass,12;66,2023/05/18 00:00:00
15963,3193,Lucerne,11;51,2023/12/18 00:00:00
15964,3193,Silage,7;28,2023/09/03 00:00:00
15965,3193,Grass,7;26,2022/06/02 00:00:00
15966,3194,Silage,14;05,2022/09/26 00:00:00
15967,3194,Maize,13;98,2022/02/07 00:00:00
15968,3194,Lucerne,10;86,2021/10/08 00:00:00
15969,3194,Lucerne,9;01,2022/02/27 00:00:00
15970,3194,Silage,11;81,2022/07/04 00:00:00
15971,3195,Grass,12;97,2020/08/12 00:00:00
15972,3195,Lucerne,9;09,2022/02/25 00:00:00
15973,3195,Grass,13;84,2021/04/11 00:00:00
15974,3195,Lucerne,14;16,2021/06/29 00:00:00
15975,3195,Lucerne,6;66,2021/07/09 00:00:00
15976,3196,Grass,8;48,2023/10/12 00:00:00
15977,3196,Maize,12;75,2022/05/14 00:00:00
15978,3196,Grass,7;57,2023/02/24 00:00:00
15979,3196,Silage,5;11,2022/12/25 00:00:00
15980,3196,Maize,6;49,2022/10/28 00:00:00
15981,3197,Grass,10;46,2023/08/22 00:00:00
15982,3197,Silage,8;05,2022/09/12 00:00:00
15983,3197,Maize,6;81,2023/05/16 00:00:00
15984,3197,Grass,6;24,2021/12/23 00:00:00
15985,3197,Silage,10;97,2023/08/30 00:00:00
15986,3198,Lucerne,14;05,2024/09/27 00:00:00
15987,3198,Maize,13;78,2024/02/05 00:00:00
15988,3198,Maize,12;59,2025/08/04 00:00:00
15989,3198,Maize,13;97,2024/12/13 00:00:00
15990,3198,Maize,9;18,2024/09/14 00:00:00
15991,3199,Silage,9;93,2021/10/30 00:00:00
15992,3199,Grass,12;93,2021/03/11 00:00:00
15993,3199,Maize,12;31,2022/01/19 00:00:00
15994,3199,Grass,9;21,2020/11/01 00:00:00
15995,3199,Grass,10;77,2021/09/07 00:00:00
15996,3200,Grass,14;09,2021/08/15 00:00:00
15997,3200,Maize,10;62,2020/08/25 00:00:00
15998,3200,Grass,5;33,2020/12/09 00:00:00
15999,3200,Silage,10;74,2021/11/04 00:00:00
16000,3200,Grass,12;03,2021/03/07 00:00:00
16001,3201,Lucerne,6;54,2023/03/24 00:00:00
16002,3201,Silage,10;86,2022/12/29 00:00:00
16003,3201,Silage,7;47,2023/04/19 00:00:00
16004,3201,Maize,7;43,2022/03/12 00:00:00
16005,3201,Maize,9;83,2022/09/09 00:00:00
16006,3202,Lucerne,9;58,2020/09/12 00:00:00
16007,3202,Silage,9;75,2022/02/10 00:00:00
16008,3202,Lucerne,14;57,2021/11/17 00:00:00
16009,3202,Silage,9;64,2021/03/09 00:00:00
16010,3202,Silage,12;78,2020/10/06 00:00:00
16011,3203,Maize,10;46,2022/08/07 00:00:00
16012,3203,Silage,7;72,2023/01/07 00:00:00
16013,3203,Silage,11;76,2024/04/15 00:00:00
16014,3203,Grass,12;96,2023/09/17 00:00:00
16015,3203,Lucerne,14;58,2023/02/10 00:00:00
16016,3204,Lucerne,9;77,2021/11/25 00:00:00
16017,3204,Lucerne,9;26,2021/02/19 00:00:00
16018,3204,Maize,13;10,2021/05/02 00:00:00
16019,3204,Silage,5;12,2021/04/13 00:00:00
16020,3204,Lucerne,6;25,2021/02/23 00:00:00
16021,3205,Grass,13;23,2023/12/26 00:00:00
16022,3205,Maize,5;28,2024/05/20 00:00:00
16023,3205,Grass,6;06,2023/07/13 00:00:00
16024,3205,Grass,9;81,2024/07/13 00:00:00
16025,3205,Grass,7;32,2024/05/08 00:00:00
16026,3206,Silage,5;24,2025/08/02 00:00:00
16027,3206,Maize,8;61,2025/07/25 00:00:00
16028,3206,Lucerne,11;51,2024/06/14 00:00:00
16029,3206,Grass,14;79,2025/02/14 00:00:00
16030,3206,Lucerne,5;32,2024/04/16 00:00:00
16031,3207,Grass,9;97,2022/05/06 00:00:00
16032,3207,Lucerne,13;51,2023/01/31 00:00:00
16033,3207,Grass,7;71,2023/01/04 00:00:00
16034,3207,Maize,12;85,2022/01/11 00:00:00
16035,3207,Silage,11;22,2023/01/13 00:00:00
16036,3208,Silage,9;14,2024/02/27 00:00:00
16037,3208,Maize,5;94,2024/11/16 00:00:00
16038,3208,Grass,8;71,2024/06/25 00:00:00
16039,3208,Grass,7;61,2023/06/13 00:00:00
16040,3208,Grass,9;81,2023/03/26 00:00:00
16041,3209,Lucerne,8;46,2023/07/09 00:00:00
16042,3209,Lucerne,6;23,2025/02/12 00:00:00
16043,3209,Grass,8;20,2024/01/22 00:00:00
16044,3209,Maize,6;34,2024/09/16 00:00:00
16045,3209,Grass,14;14,2024/05/26 00:00:00
16046,3210,Maize,10;69,2023/09/26 00:00:00
16047,3210,Silage,12;71,2024/09/03 00:00:00
16048,3210,Grass,7;51,2025/04/30 00:00:00
16049,3210,Silage,13;70,2023/11/27 00:00:00
16050,3210,Lucerne,12;36,2024/09/19 00:00:00
16051,3211,Lucerne,5;76,2023/06/26 00:00:00
16052,3211,Lucerne,11;60,2022/11/13 00:00:00
16053,3211,Silage,8;89,2022/12/22 00:00:00
16054,3211,Lucerne,6;01,2022/04/07 00:00:00
16055,3211,Grass,13;43,2023/10/13 00:00:00
16056,3212,Grass,6;30,2022/09/13 00:00:00
16057,3212,Grass,10;18,2023/02/11 00:00:00
16058,3212,Grass,12;10,2023/02/22 00:00:00
16059,3212,Silage,13;04,2022/01/25 00:00:00
16060,3212,Grass,11;80,2022/05/05 00:00:00
16061,3213,Lucerne,9;45,2023/03/23 00:00:00
16062,3213,Lucerne,14;06,2022/04/20 00:00:00
16063,3213,Lucerne,6;87,2022/08/24 00:00:00
16064,3213,Grass,8;18,2022/07/08 00:00:00
16065,3213,Maize,9;46,2023/05/17 00:00:00
16066,3214,Silage,14;61,2022/07/24 00:00:00
16067,3214,Lucerne,5;35,2023/02/21 00:00:00
16068,3214,Maize,10;99,2022/03/24 00:00:00
16069,3214,Lucerne,11;57,2022/06/27 00:00:00
16070,3214,Grass,8;98,2023/05/06 00:00:00
16071,3215,Silage,6;63,2022/05/02 00:00:00
16072,3215,Grass,6;02,2022/03/29 00:00:00
16073,3215,Maize,9;05,2022/09/25 00:00:00
16074,3215,Lucerne,7;72,2022/09/29 00:00:00
16075,3215,Grass,5;51,2021/06/10 00:00:00
16076,3216,Maize,11;14,2021/10/24 00:00:00
16077,3216,Grass,5;14,2022/10/31 00:00:00
16078,3216,Maize,6;57,2022/06/25 00:00:00
16079,3216,Maize,6;89,2022/11/01 00:00:00
16080,3216,Silage,13;94,2021/10/15 00:00:00
16081,3217,Maize,13;84,2022/12/04 00:00:00
16082,3217,Silage,12;93,2021/10/24 00:00:00
16083,3217,Silage,7;84,2022/02/22 00:00:00
16084,3217,Grass,14;60,2022/07/07 00:00:00
16085,3217,Silage,5;75,2022/11/17 00:00:00
16086,3218,Lucerne,9;66,2023/02/09 00:00:00
16087,3218,Grass,8;85,2022/03/23 00:00:00
16088,3218,Grass,5;39,2022/10/27 00:00:00
16089,3218,Grass,11;56,2022/02/27 00:00:00
16090,3218,Grass,12;34,2023/10/01 00:00:00
16091,3219,Lucerne,6;44,2024/12/22 00:00:00
16092,3219,Maize,7;11,2024/10/04 00:00:00
16093,3219,Grass,13;05,2024/07/13 00:00:00
16094,3219,Grass,5;41,2024/08/27 00:00:00
16095,3219,Lucerne,5;27,2024/03/04 00:00:00
16096,3220,Silage,7;16,2023/11/22 00:00:00
16097,3220,Lucerne,12;14,2025/01/05 00:00:00
16098,3220,Silage,8;48,2024/08/21 00:00:00
16099,3220,Grass,10;89,2025/03/25 00:00:00
16100,3220,Silage,8;86,2023/12/27 00:00:00
16101,3221,Grass,9;08,2022/05/29 00:00:00
16102,3221,Silage,7;04,2022/11/15 00:00:00
16103,3221,Grass,12;84,2022/12/16 00:00:00
16104,3221,Silage,11;45,2022/08/08 00:00:00
16105,3221,Silage,14;74,2022/01/17 00:00:00
16106,3222,Maize,6;83,2021/12/11 00:00:00
16107,3222,Silage,12;23,2022/09/11 00:00:00
16108,3222,Lucerne,6;81,2021/12/16 00:00:00
16109,3222,Grass,10;11,2023/04/27 00:00:00
16110,3222,Grass,9;81,2023/01/05 00:00:00
16111,3223,Maize,12;47,2022/05/05 00:00:00
16112,3223,Grass,13;95,2022/09/19 00:00:00
16113,3223,Lucerne,9;89,2023/01/18 00:00:00
16114,3223,Grass,7;45,2022/05/13 00:00:00
16115,3223,Grass,10;06,2021/09/22 00:00:00
16116,3224,Grass,5;09,2021/03/29 00:00:00
16117,3224,Grass,9;93,2021/04/19 00:00:00
16118,3224,Lucerne,5;77,2021/09/29 00:00:00
16119,3224,Maize,7;26,2020/12/25 00:00:00
16120,3224,Maize,7;40,2021/10/19 00:00:00
16121,3225,Grass,5;41,2023/07/04 00:00:00
16122,3225,Grass,13;34,2024/07/20 00:00:00
16123,3225,Grass,6;69,2023/02/11 00:00:00
16124,3225,Maize,14;35,2024/03/11 00:00:00
16125,3225,Grass,5;92,2023/10/25 00:00:00
16126,3226,Grass,12;06,2023/03/25 00:00:00
16127,3226,Lucerne,6;29,2022/12/05 00:00:00
16128,3226,Silage,13;38,2023/10/12 00:00:00
16129,3226,Grass,12;08,2023/03/22 00:00:00
16130,3226,Lucerne,9;24,2023/03/21 00:00:00
16131,3227,Silage,7;47,2023/09/26 00:00:00
16132,3227,Grass,7;18,2023/08/28 00:00:00
16133,3227,Grass,14;75,2024/06/23 00:00:00
16134,3227,Grass,13;19,2024/10/08 00:00:00
16135,3227,Silage,9;53,2024/04/10 00:00:00
16136,3228,Maize,11;45,2023/10/16 00:00:00
16137,3228,Grass,11;89,2022/12/22 00:00:00
16138,3228,Maize,10;80,2022/04/04 00:00:00
16139,3228,Grass,10;98,2022/06/02 00:00:00
16140,3228,Silage,5;28,2022/04/14 00:00:00
16141,3229,Grass,9;85,2024/03/29 00:00:00
16142,3229,Silage,8;05,2024/02/21 00:00:00
16143,3229,Silage,5;59,2024/06/20 00:00:00
16144,3229,Silage,13;77,2024/03/20 00:00:00
16145,3229,Grass,12;81,2023/06/25 00:00:00
16146,3230,Maize,6;28,2023/05/27 00:00:00
16147,3230,Silage,10;02,2022/11/02 00:00:00
16148,3230,Maize,10;73,2024/01/06 00:00:00
16149,3230,Grass,13;55,2023/11/23 00:00:00
16150,3230,Grass,14;39,2023/10/24 00:00:00
16151,3231,Grass,13;16,2023/05/13 00:00:00
16152,3231,Maize,14;41,2022/04/16 00:00:00
16153,3231,Grass,13;83,2021/12/19 00:00:00
16154,3231,Lucerne,7;67,2022/09/25 00:00:00
16155,3231,Grass,14;10,2023/02/16 00:00:00
16156,3232,Lucerne,10;49,2024/01/10 00:00:00
16157,3232,Lucerne,10;29,2023/06/13 00:00:00
16158,3232,Lucerne,13;83,2023/07/19 00:00:00
16159,3232,Grass,10;44,2024/03/22 00:00:00
16160,3232,Grass,7;62,2023/05/31 00:00:00
16161,3233,Grass,8;07,2023/06/09 00:00:00
16162,3233,Silage,7;72,2023/05/03 00:00:00
16163,3233,Lucerne,9;55,2024/09/12 00:00:00
16164,3233,Lucerne,10;67,2023/08/28 00:00:00
16165,3233,Grass,10;60,2023/08/22 00:00:00
16166,3234,Silage,10;75,2023/01/16 00:00:00
16167,3234,Lucerne,8;60,2022/06/01 00:00:00
16168,3234,Lucerne,8;38,2022/08/07 00:00:00
16169,3234,Grass,6;85,2023/07/08 00:00:00
16170,3234,Silage,9;85,2022/07/30 00:00:00
16171,3235,Silage,5;85,2022/09/04 00:00:00
16172,3235,Maize,13;50,2023/04/09 00:00:00
16173,3235,Silage,13;56,2022/09/15 00:00:00
16174,3235,Lucerne,5;04,2021/10/02 00:00:00
16175,3235,Lucerne,13;24,2023/04/10 00:00:00
16176,3236,Grass,10;81,2024/01/27 00:00:00
16177,3236,Silage,10;85,2025/03/15 00:00:00
16178,3236,Grass,5;87,2025/02/01 00:00:00
16179,3236,Grass,6;53,2025/03/16 00:00:00
16180,3236,Maize,6;03,2023/08/29 00:00:00
16181,3237,Grass,8;64,2025/11/24 00:00:00
16182,3237,Silage,10;53,2025/01/16 00:00:00
16183,3237,Maize,10;37,2025/06/11 00:00:00
16184,3237,Silage,5;11,2025/06/16 00:00:00
16185,3237,Grass,6;72,2024/10/27 00:00:00
16186,3238,Grass,14;08,2022/07/18 00:00:00
16187,3238,Silage,14;27,2022/09/14 00:00:00
16188,3238,Maize,6;29,2023/03/23 00:00:00
16189,3238,Silage,6;76,2023/05/24 00:00:00
16190,3238,Maize,10;54,2022/11/13 00:00:00
16191,3239,Lucerne,12;57,2024/08/27 00:00:00
16192,3239,Maize,11;23,2024/06/15 00:00:00
16193,3239,Grass,10;17,2023/10/23 00:00:00
16194,3239,Silage,11;00,2023/05/30 00:00:00
16195,3239,Maize,5;17,2024/05/04 00:00:00
16196,3240,Silage,7;22,2025/08/09 00:00:00
16197,3240,Maize,14;34,2024/06/06 00:00:00
16198,3240,Silage,7;60,2024/04/23 00:00:00
16199,3240,Silage,10;17,2024/05/31 00:00:00
16200,3240,Grass,5;14,2024/08/30 00:00:00
16201,3241,Silage,14;05,2025/08/26 00:00:00
16202,3241,Grass,7;85,2024/05/16 00:00:00
16203,3241,Lucerne,9;75,2024/11/21 00:00:00
16204,3241,Maize,5;86,2024/08/12 00:00:00
16205,3241,Grass,14;70,2024/07/02 00:00:00
16206,3242,Maize,14;99,2020/09/02 00:00:00
16207,3242,Silage,6;78,2022/02/23 00:00:00
16208,3242,Grass,6;73,2021/07/25 00:00:00
16209,3242,Silage,10;33,2021/05/07 00:00:00
16210,3242,Maize,5;67,2020/08/29 00:00:00
16211,3243,Silage,5;55,2022/04/04 00:00:00
16212,3243,Lucerne,14;95,2022/08/05 00:00:00
16213,3243,Grass,10;98,2022/08/29 00:00:00
16214,3243,Silage,7;85,2022/09/08 00:00:00
16215,3243,Silage,13;31,2022/11/11 00:00:00
16216,3244,Lucerne,7;15,2023/03/11 00:00:00
16217,3244,Lucerne,14;24,2023/08/04 00:00:00
16218,3244,Grass,12;43,2024/02/23 00:00:00
16219,3244,Silage,9;02,2023/12/19 00:00:00
16220,3244,Silage,10;62,2023/12/31 00:00:00
16221,3245,Lucerne,8;89,2024/07/24 00:00:00
16222,3245,Silage,8;11,2023/11/27 00:00:00
16223,3245,Lucerne,8;48,2025/07/23 00:00:00
16224,3245,Maize,9;99,2024/07/20 00:00:00
16225,3245,Silage,5;06,2025/05/31 00:00:00
16226,3246,Grass,12;17,2022/03/17 00:00:00
16227,3246,Lucerne,10;98,2022/03/01 00:00:00
16228,3246,Grass,12;27,2021/11/10 00:00:00
16229,3246,Maize,7;81,2022/02/25 00:00:00
16230,3246,Maize,9;70,2022/08/24 00:00:00
16231,3247,Lucerne,11;98,2020/07/03 00:00:00
16232,3247,Lucerne,10;64,2022/01/04 00:00:00
16233,3247,Silage,14;22,2021/05/08 00:00:00
16234,3247,Lucerne,14;65,2021/12/16 00:00:00
16235,3247,Silage,7;17,2021/03/08 00:00:00
16236,3248,Grass,12;45,2022/03/23 00:00:00
16237,3248,Lucerne,7;17,2022/02/18 00:00:00
16238,3248,Silage,10;89,2022/08/15 00:00:00
16239,3248,Silage,10;49,2022/02/03 00:00:00
16240,3248,Silage,13;55,2020/12/26 00:00:00
16241,3249,Maize,7;22,2022/04/18 00:00:00
16242,3249,Silage,11;70,2022/02/28 00:00:00
16243,3249,Silage,8;97,2021/07/13 00:00:00
16244,3249,Lucerne,13;67,2022/02/24 00:00:00
16245,3249,Lucerne,14;58,2021/11/13 00:00:00
16246,3250,Silage,13;93,2024/07/30 00:00:00
16247,3250,Maize,9;71,2024/08/15 00:00:00
16248,3250,Maize,12;25,2024/02/17 00:00:00
16249,3250,Lucerne,10;72,2023/11/16 00:00:00
16250,3250,Grass,10;49,2023/09/17 00:00:00
16251,3251,Grass,5;76,2021/10/31 00:00:00
16252,3251,Silage,5;96,2023/01/07 00:00:00
16253,3251,Lucerne,14;32,2022/09/04 00:00:00
16254,3251,Maize,12;53,2022/04/29 00:00:00
16255,3251,Silage,14;45,2022/05/01 00:00:00
16256,3252,Lucerne,10;68,2022/09/20 00:00:00
16257,3252,Silage,14;81,2022/10/05 00:00:00
16258,3252,Grass,10;44,2022/04/15 00:00:00
16259,3252,Silage,6;46,2022/06/26 00:00:00
16260,3252,Maize,9;75,2021/10/14 00:00:00
16261,3253,Maize,7;91,2025/07/03 00:00:00
16262,3253,Silage,12;63,2025/05/28 00:00:00
16263,3253,Maize,8;33,2025/07/12 00:00:00
16264,3253,Lucerne,9;63,2025/09/13 00:00:00
16265,3253,Lucerne,5;97,2025/04/11 00:00:00
16266,3254,Grass,7;79,2022/04/14 00:00:00
16267,3254,Lucerne,5;19,2020/12/03 00:00:00
16268,3254,Silage,12;43,2021/11/29 00:00:00
16269,3254,Silage,5;83,2021/11/06 00:00:00
16270,3254,Maize,14;95,2022/08/01 00:00:00
16271,3255,Grass,8;65,2021/03/15 00:00:00
16272,3255,Silage,14;30,2021/03/19 00:00:00
16273,3255,Maize,13;70,2020/09/20 00:00:00
16274,3255,Maize,6;61,2020/10/24 00:00:00
16275,3255,Lucerne,9;39,2021/04/23 00:00:00
16276,3256,Maize,6;89,2022/06/21 00:00:00
16277,3256,Maize,8;08,2023/03/16 00:00:00
16278,3256,Maize,12;21,2022/06/26 00:00:00
16279,3256,Grass,7;16,2022/08/24 00:00:00
16280,3256,Silage,5;67,2022/11/17 00:00:00
16281,3257,Silage,5;46,2024/10/26 00:00:00
16282,3257,Lucerne,11;46,2024/05/25 00:00:00
16283,3257,Maize,10;14,2024/07/08 00:00:00
16284,3257,Silage,11;87,2024/12/10 00:00:00
16285,3257,Maize,8;44,2025/09/23 00:00:00
16286,3258,Lucerne,12;07,2023/03/12 00:00:00
16287,3258,Grass,11;64,2024/03/23 00:00:00
16288,3258,Grass,5;15,2023/11/12 00:00:00
16289,3258,Grass,10;28,2023/10/15 00:00:00
16290,3258,Grass,8;54,2023/11/29 00:00:00
16291,3259,Lucerne,7;21,2024/10/27 00:00:00
16292,3259,Maize,8;00,2023/08/13 00:00:00
16293,3259,Lucerne,13;58,2024/10/20 00:00:00
16294,3259,Silage,6;93,2024/08/05 00:00:00
16295,3259,Silage,9;13,2024/07/02 00:00:00
16296,3260,Silage,6;19,2022/01/15 00:00:00
16297,3260,Maize,8;25,2022/04/09 00:00:00
16298,3260,Grass,7;30,2022/01/31 00:00:00
16299,3260,Lucerne,6;74,2021/06/07 00:00:00
16300,3260,Maize,13;28,2021/08/02 00:00:00
16301,3261,Silage,10;02,2021/01/02 00:00:00
16302,3261,Silage,8;40,2021/07/17 00:00:00
16303,3261,Maize,5;98,2020/10/19 00:00:00
16304,3261,Maize,13;73,2022/03/19 00:00:00
16305,3261,Maize,11;30,2021/07/20 00:00:00
16306,3262,Grass,13;05,2021/09/22 00:00:00
16307,3262,Grass,11;25,2021/05/21 00:00:00
16308,3262,Silage,9;03,2020/09/20 00:00:00
16309,3262,Grass,11;72,2022/05/29 00:00:00
16310,3262,Silage,12;14,2020/11/22 00:00:00
16311,3263,Grass,7;45,2023/04/30 00:00:00
16312,3263,Maize,14;66,2024/06/26 00:00:00
16313,3263,Maize,13;26,2023/05/27 00:00:00
16314,3263,Grass,13;52,2023/04/24 00:00:00
16315,3263,Silage,13;57,2024/01/25 00:00:00
16316,3264,Maize,12;33,2025/03/24 00:00:00
16317,3264,Lucerne,10;68,2024/10/27 00:00:00
16318,3264,Silage,10;85,2024/07/14 00:00:00
16319,3264,Maize,6;88,2024/05/08 00:00:00
16320,3264,Grass,7;49,2025/05/07 00:00:00
16321,3265,Silage,7;05,2023/08/05 00:00:00
16322,3265,Lucerne,11;57,2024/01/08 00:00:00
16323,3265,Lucerne,13;35,2024/01/31 00:00:00
16324,3265,Lucerne,12;04,2024/08/20 00:00:00
16325,3265,Maize,14;12,2024/04/10 00:00:00
16326,3266,Silage,14;32,2024/03/30 00:00:00
16327,3266,Maize,10;45,2024/12/06 00:00:00
16328,3266,Silage,9;69,2023/07/18 00:00:00
16329,3266,Lucerne,11;56,2024/06/11 00:00:00
16330,3266,Lucerne,14;67,2024/08/26 00:00:00
16331,3267,Maize,8;83,2022/01/22 00:00:00
16332,3267,Silage,11;79,2022/03/08 00:00:00
16333,3267,Maize,9;17,2021/05/25 00:00:00
16334,3267,Lucerne,13;41,2022/08/16 00:00:00
16335,3267,Lucerne,6;51,2022/07/24 00:00:00
16336,3268,Silage,13;99,2022/07/17 00:00:00
16337,3268,Silage,8;21,2021/10/23 00:00:00
16338,3268,Maize,10;54,2022/08/06 00:00:00
16339,3268,Maize,5;84,2022/08/26 00:00:00
16340,3268,Grass,6;59,2021/05/13 00:00:00
16341,3269,Lucerne,14;92,2022/01/29 00:00:00
16342,3269,Lucerne,6;89,2021/02/13 00:00:00
16343,3269,Silage,6;24,2020/12/18 00:00:00
16344,3269,Grass,12;51,2021/06/17 00:00:00
16345,3269,Silage,12;53,2021/10/16 00:00:00
16346,3270,Grass,9;55,2024/07/25 00:00:00
16347,3270,Silage,8;68,2025/05/02 00:00:00
16348,3270,Lucerne,8;96,2025/02/20 00:00:00
16349,3270,Maize,5;39,2025/06/17 00:00:00
16350,3270,Lucerne,11;75,2025/01/19 00:00:00
16351,3271,Lucerne,8;99,2022/07/14 00:00:00
16352,3271,Grass,13;57,2023/07/27 00:00:00
16353,3271,Grass,5;52,2023/10/07 00:00:00
16354,3271,Maize,14;89,2023/06/09 00:00:00
16355,3271,Silage,8;05,2023/01/30 00:00:00
16356,3272,Maize,7;06,2022/12/01 00:00:00
16357,3272,Grass,11;90,2022/08/13 00:00:00
16358,3272,Silage,14;56,2022/11/25 00:00:00
16359,3272,Grass,14;80,2022/07/23 00:00:00
16360,3272,Grass,8;63,2021/10/10 00:00:00
16361,3273,Silage,10;27,2021/11/27 00:00:00
16362,3273,Maize,7;14,2021/09/26 00:00:00
16363,3273,Silage,6;49,2022/09/09 00:00:00
16364,3273,Lucerne,5;09,2021/10/28 00:00:00
16365,3273,Silage,12;40,2021/10/13 00:00:00
16366,3274,Lucerne,10;47,2020/09/19 00:00:00
16367,3274,Grass,12;81,2022/01/07 00:00:00
16368,3274,Grass,13;73,2022/04/14 00:00:00
16369,3274,Lucerne,9;94,2021/05/02 00:00:00
16370,3274,Silage,14;55,2022/02/04 00:00:00
16371,3275,Silage,13;08,2023/11/27 00:00:00
16372,3275,Lucerne,5;51,2023/07/05 00:00:00
16373,3275,Silage,13;04,2022/11/09 00:00:00
16374,3275,Grass,9;84,2022/10/19 00:00:00
16375,3275,Lucerne,6;46,2023/11/22 00:00:00
16376,3276,Grass,5;60,2022/06/29 00:00:00
16377,3276,Silage,7;60,2022/11/15 00:00:00
16378,3276,Maize,6;47,2023/02/18 00:00:00
16379,3276,Silage,9;63,2023/04/05 00:00:00
16380,3276,Silage,11;71,2023/05/17 00:00:00
16381,3277,Lucerne,12;89,2021/06/11 00:00:00
16382,3277,Grass,11;01,2021/06/15 00:00:00
16383,3277,Maize,10;45,2022/04/23 00:00:00
16384,3277,Lucerne,11;57,2022/05/28 00:00:00
16385,3277,Grass,13;57,2021/08/16 00:00:00
16386,3278,Lucerne,6;24,2023/05/01 00:00:00
16387,3278,Silage,12;40,2022/10/25 00:00:00
16388,3278,Grass,5;56,2023/04/10 00:00:00
16389,3278,Silage,12;50,2023/03/20 00:00:00
16390,3278,Grass,9;95,2023/02/01 00:00:00
16391,3279,Lucerne,13;63,2021/04/30 00:00:00
16392,3279,Silage,8;10,2022/04/24 00:00:00
16393,3279,Lucerne,13;86,2022/01/19 00:00:00
16394,3279,Silage,10;12,2021/12/30 00:00:00
16395,3279,Maize,9;94,2022/02/25 00:00:00
16396,3280,Maize,10;02,2022/07/16 00:00:00
16397,3280,Silage,10;41,2022/08/16 00:00:00
16398,3280,Lucerne,6;58,2023/08/31 00:00:00
16399,3280,Silage,11;81,2023/04/26 00:00:00
16400,3280,Silage,10;75,2023/07/10 00:00:00
16401,3281,Maize,11;07,2022/04/15 00:00:00
16402,3281,Grass,6;10,2023/08/05 00:00:00
16403,3281,Maize,11;31,2023/02/27 00:00:00
16404,3281,Maize,14;13,2022/08/14 00:00:00
16405,3281,Grass,13;25,2022/08/07 00:00:00
16406,3282,Lucerne,11;99,2024/07/23 00:00:00
16407,3282,Grass,12;54,2024/01/04 00:00:00
16408,3282,Silage,13;23,2025/03/31 00:00:00
16409,3282,Grass,13;81,2024/10/22 00:00:00
16410,3282,Grass,5;84,2024/09/04 00:00:00
16411,3283,Lucerne,8;64,2023/08/04 00:00:00
16412,3283,Maize,14;39,2024/08/19 00:00:00
16413,3283,Silage,9;29,2023/09/21 00:00:00
16414,3283,Lucerne,5;80,2024/07/28 00:00:00
16415,3283,Maize,11;82,2024/02/23 00:00:00
16416,3284,Grass,12;45,2022/05/04 00:00:00
16417,3284,Maize,8;68,2023/06/23 00:00:00
16418,3284,Grass,9;08,2023/03/12 00:00:00
16419,3284,Maize,6;70,2023/02/16 00:00:00
16420,3284,Grass,13;50,2022/02/26 00:00:00
16421,3285,Grass,9;09,2022/09/23 00:00:00
16422,3285,Lucerne,11;41,2022/09/24 00:00:00
16423,3285,Lucerne,9;87,2023/04/27 00:00:00
16424,3285,Silage,9;52,2022/03/30 00:00:00
16425,3285,Grass,7;82,2022/12/13 00:00:00
16426,3286,Silage,11;26,2023/10/06 00:00:00
16427,3286,Silage,6;49,2023/10/03 00:00:00
16428,3286,Silage,9;97,2024/10/08 00:00:00
16429,3286,Maize,12;89,2025/03/11 00:00:00
16430,3286,Silage,5;92,2024/11/12 00:00:00
16431,3287,Grass,8;71,2023/07/28 00:00:00
16432,3287,Grass,12;19,2023/09/25 00:00:00
16433,3287,Silage,13;26,2022/08/18 00:00:00
16434,3287,Grass,6;73,2023/01/04 00:00:00
16435,3287,Silage,8;82,2024/02/29 00:00:00
