HealthRecordID,LivestockID,CheckDate,Notes,Treatment
992,992,2023/12/23 00:00:00,Minor infection treated; under observation.,Deworming
993,993,2020/07/03 00:00:00,Exhibiting signs of heat stress.,Vitamin B12 Injection
994,994,2024/06/18 00:00:00,Minor cut observed on front leg.,Tick and Flea Dip
995,995,2022/05/23 00:00:00,Routine check-up; all vitals normal.,Anti-inflammatory Injection
996,996,2024/01/08 00:00:00,Vaccination administered; no side effects.,Anti-inflammatory Injection
997,997,2023/03/23 00:00:00,Exhibiting signs of heat stress.,Vaccination (Anthrax)
998,998,2023/01/25 00:00:00,Mild coughing; vitamin booster given.,Multivitamin Supplement
999,999,2023/10/14 00:00:00,Minor cut observed on front leg.,Fly Repellent Spray
1000,1000,2022/04/26 00:00:00,Loss of appetite for 2 days.,Anti-inflammatory Injection
1001,1001,2020/11/08 00:00:00,Exhibiting signs of heat stress.,Tick and Flea Dip
1002,1002,2023/01/12 00:00:00,Mild coughing; vitamin booster given.,Multivitamin Supplement
1003,1003,2021/09/03 00:00:00,Mild coughing; vitamin booster given.,Fly Repellent Spray
1004,1004,2021/08/08 00:00:00,Mild coughing; vitamin booster given.,Deworming
1005,1005,2021/07/26 00:00:00,Exhibiting signs of heat stress.,Deworming
1006,1006,2020/11/04 00:00:00,Minor cut observed on front leg.,Anti-inflammatory Injection
1007,1007,2021/02/11 00:00:00,Minor infection treated; under observation.,Deworming
1008,1008,2020/12/27 00:00:00,Routine check-up; all vitals normal.,Antibiotics (Oxytetracycline)
1009,1009,2020/08/04 00:00:00,Minor cut observed on front leg.,Tick and Flea Dip
1010,1010,2022/09/27 00:00:00,Minor cut observed on front leg.,Foot Rot Treatment
1011,1011,2022/01/26 00:00:00,Mild coughing; vitamin booster given.,Electrolytes Added to Water
1012,1012,2020/12/04 00:00:00,Increased weight gain; healthy condition.,Foot Rot Treatment
1013,1013,2020/11/01 00:00:00,Minor infection treated; under observation.,Electrolytes Added to Water
1014,1014,2023/04/23 00:00:00,Exhibiting signs of heat stress.,Antibiotics (Oxytetracycline)
1015,1015,2023/09/04 00:00:00,Wound from fencing; disinfected and bandaged.,Antibiotics (Oxytetracycline)
1016,1016,2021/05/10 00:00:00,Vaccination administered; no side effects.,Fly Repellent Spray
1017,1017,2023/12/02 00:00:00,Routine check-up; all vitals normal.,Electrolytes Added to Water
1018,1018,2023/02/21 00:00:00,Routine check-up; all vitals normal.,Foot Rot Treatment
1019,1019,2022/10/08 00:00:00,Minor cut observed on front leg.,Deworming
1020,1020,2022/08/20 00:00:00,Loss of appetite for 2 days.,Multivitamin Supplement
1021,1021,2023/11/25 00:00:00,Vaccination administered; no side effects.,Deworming
1022,1022,2020/11/13 00:00:00,Wound from fencing; disinfected and bandaged.,Anti-inflammatory Injection
1023,1023,2020/08/15 00:00:00,Hoof trimmed and cleaned.,Multivitamin Supplement
1024,1024,2022/10/14 00:00:00,Vaccination administered; no side effects.,Antibiotics (Oxytetracycline)
1025,1025,2020/07/22 00:00:00,Increased weight gain; healthy condition.,Foot Rot Treatment
1026,1026,2023/05/13 00:00:00,Vaccination administered; no side effects.,Electrolytes Added to Water
1027,1027,2023/09/20 00:00:00,Increased weight gain; healthy condition.,Electrolytes Added to Water
1028,1028,2023/01/14 00:00:00,Loss of appetite for 2 days.,Multivitamin Supplement
1029,1029,2020/09/07 00:00:00,Mild coughing; vitamin booster given.,Antibiotics (Oxytetracycline)
1030,1030,2023/04/02 00:00:00,Wound from fencing; disinfected and bandaged.,Anti-inflammatory Injection
1031,1031,2022/02/11 00:00:00,Vaccination administered; no side effects.,Foot Rot Treatment
1032,1032,2023/01/06 00:00:00,Minor cut observed on front leg.,Vitamin B12 Injection
1033,1033,2022/05/11 00:00:00,Increased weight gain; healthy condition.,Tick and Flea Dip
1034,1034,2020/11/25 00:00:00,Hoof trimmed and cleaned.,Vaccination (Anthrax)
1035,1035,2021/04/22 00:00:00,Wound from fencing; disinfected and bandaged.,Multivitamin Supplement
1036,1036,2024/05/23 00:00:00,Routine check-up; all vitals normal.,Deworming
1037,1037,2024/05/11 00:00:00,Routine check-up; all vitals normal.,Multivitamin Supplement
1038,1038,2022/04/15 00:00:00,Wound from fencing; disinfected and bandaged.,Vaccination (Anthrax)
1039,1039,2023/10/21 00:00:00,Wound from fencing; disinfected and bandaged.,Vaccination (Anthrax)
1040,1040,2022/04/02 00:00:00,Minor infection treated; under observation.,Deworming
1041,1041,2021/05/15 00:00:00,Exhibiting signs of heat stress.,Deworming
1042,1042,2023/05/26 00:00:00,Increased weight gain; healthy condition.,Multivitamin Supplement
1043,1043,2024/03/16 00:00:00,Mild coughing; vitamin booster given.,Multivitamin Supplement
1044,1044,2022/01/02 00:00:00,Minor cut observed on front leg.,Vitamin B12 Injection
1045,1045,2021/05/05 00:00:00,Increased weight gain; healthy condition.,Multivitamin Supplement
1046,1046,2023/07/09 00:00:00,Increased weight gain; healthy condition.,Anti-inflammatory Injection
1047,1047,2021/04/27 00:00:00,Minor cut observed on front leg.,Tick and Flea Dip
1048,1048,2020/11/10 00:00:00,Minor cut observed on front leg.,Deworming
1049,1049,2023/05/19 00:00:00,Wound from fencing; disinfected and bandaged.,Electrolytes Added to Water
1050,1050,2021/03/08 00:00:00,Exhibiting signs of heat stress.,Multivitamin Supplement
1051,1051,2024/03/24 00:00:00,Increased weight gain; healthy condition.,Fly Repellent Spray
1052,1052,2022/03/26 00:00:00,Loss of appetite for 2 days.,Deworming
1053,1053,2023/01/04 00:00:00,Exhibiting signs of heat stress.,Tick and Flea Dip
1054,1054,2021/04/01 00:00:00,Mild coughing; vitamin booster given.,Deworming
1055,1055,2020/09/08 00:00:00,Hoof trimmed and cleaned.,Vaccination (Anthrax)
1056,1056,2021/08/13 00:00:00,Increased weight gain; healthy condition.,Vitamin B12 Injection
1057,1057,2021/04/04 00:00:00,Increased weight gain; healthy condition.,Electrolytes Added to Water
1058,1058,2022/06/23 00:00:00,Minor infection treated; under observation.,Tick and Flea Dip
1059,1059,2021/11/09 00:00:00,Hoof trimmed and cleaned.,Vaccination (Anthrax)
1060,1060,2024/03/23 00:00:00,Exhibiting signs of heat stress.,Deworming
1061,1061,2022/03/23 00:00:00,Minor cut observed on front leg.,Vaccination (Anthrax)
1062,1062,2022/12/27 00:00:00,Routine check-up; all vitals normal.,Foot Rot Treatment
1063,1063,2020/09/13 00:00:00,Hoof trimmed and cleaned.,Vitamin B12 Injection
1064,1064,2023/11/17 00:00:00,Wound from fencing; disinfected and bandaged.,Fly Repellent Spray
1065,1065,2021/06/10 00:00:00,Vaccination administered; no side effects.,Anti-inflammatory Injection
1066,1066,2023/05/06 00:00:00,Increased weight gain; healthy condition.,Deworming
1067,1067,2022/11/20 00:00:00,Exhibiting signs of heat stress.,Deworming
1068,1068,2022/06/06 00:00:00,Vaccination administered; no side effects.,Vaccination (Anthrax)
1069,1069,2024/06/25 00:00:00,Mild coughing; vitamin booster given.,Multivitamin Supplement
1070,1070,2021/05/03 00:00:00,Minor cut observed on front leg.,Foot Rot Treatment
1071,1071,2022/08/07 00:00:00,Mild coughing; vitamin booster given.,Vitamin B12 Injection
1072,1072,2022/11/05 00:00:00,Loss of appetite for 2 days.,Anti-inflammatory Injection
1073,1073,2022/09/23 00:00:00,Wound from fencing; disinfected and bandaged.,Multivitamin Supplement
1074,1074,2024/01/26 00:00:00,Loss of appetite for 2 days.,Antibiotics (Oxytetracycline)
1075,1075,2023/09/08 00:00:00,Mild coughing; vitamin booster given.,Fly Repellent Spray
1076,1076,2020/07/04 00:00:00,Minor cut observed on front leg.,Tick and Flea Dip
1077,1077,2024/04/20 00:00:00,Vaccination administered; no side effects.,Antibiotics (Oxytetracycline)
1078,1078,2022/07/16 00:00:00,Exhibiting signs of heat stress.,Anti-inflammatory Injection
1079,1079,2021/04/05 00:00:00,Mild coughing; vitamin booster given.,Electrolytes Added to Water
1080,1080,2022/08/07 00:00:00,Minor cut observed on front leg.,Antibiotics (Oxytetracycline)
1081,1081,2023/06/06 00:00:00,Exhibiting signs of heat stress.,Deworming
1082,1082,2022/04/11 00:00:00,Increased weight gain; healthy condition.,Anti-inflammatory Injection
1083,1083,2021/09/01 00:00:00,Wound from fencing; disinfected and bandaged.,Multivitamin Supplement
1084,1084,2024/01/19 00:00:00,Hoof trimmed and cleaned.,Multivitamin Supplement
1085,1085,2024/06/05 00:00:00,Vaccination administered; no side effects.,Anti-inflammatory Injection
1086,1086,2020/07/14 00:00:00,Minor infection treated; under observation.,Antibiotics (Oxytetracycline)
1087,1087,2021/04/23 00:00:00,Vaccination administered; no side effects.,Electrolytes Added to Water
1088,1088,2024/01/12 00:00:00,Exhibiting signs of heat stress.,Deworming
1089,1089,2023/03/04 00:00:00,Exhibiting signs of heat stress.,Deworming
1090,1090,2024/03/27 00:00:00,Vaccination administered; no side effects.,Tick and Flea Dip
1091,1091,2020/12/06 00:00:00,Wound from fencing; disinfected and bandaged.,Fly Repellent Spray
1092,1092,2023/04/05 00:00:00,Wound from fencing; disinfected and bandaged.,Vaccination (Anthrax)
1093,1093,2021/10/13 00:00:00,Mild coughing; vitamin booster given.,Antibiotics (Oxytetracycline)
1094,1094,2022/11/17 00:00:00,Minor infection treated; under observation.,Vitamin B12 Injection
1095,1095,2021/07/18 00:00:00,Mild coughing; vitamin booster given.,Foot Rot Treatment
1096,1096,2021/04/26 00:00:00,Wound from fencing; disinfected and bandaged.,Anti-inflammatory Injection
1097,1097,2021/07/12 00:00:00,Vaccination administered; no side effects.,Electrolytes Added to Water
1098,1098,2023/02/25 00:00:00,Minor cut observed on front leg.,Fly Repellent Spray
1099,1099,2023/12/08 00:00:00,Minor infection treated; under observation.,Tick and Flea Dip
1100,1100,2021/09/21 00:00:00,Wound from fencing; disinfected and bandaged.,Foot Rot Treatment
1101,1101,2021/08/02 00:00:00,Mild coughing; vitamin booster given.,Vaccination (Anthrax)
1102,1102,2021/04/15 00:00:00,Hoof trimmed and cleaned.,Electrolytes Added to Water
1103,1103,2024/05/12 00:00:00,Minor cut observed on front leg.,Anti-inflammatory Injection
1104,1104,2022/05/17 00:00:00,Hoof trimmed and cleaned.,Vaccination (Anthrax)
1105,1105,2020/12/03 00:00:00,Wound from fencing; disinfected and bandaged.,Antibiotics (Oxytetracycline)
1106,1106,2024/04/17 00:00:00,Minor infection treated; under observation.,Vaccination (Anthrax)
1107,1107,2023/08/05 00:00:00,Exhibiting signs of heat stress.,Fly Repellent Spray
1108,1108,2020/07/10 00:00:00,Exhibiting signs of heat stress.,Vaccination (Anthrax)
1109,1109,2023/07/20 00:00:00,Routine check-up; all vitals normal.,Anti-inflammatory Injection
1110,1110,2021/06/13 00:00:00,Loss of appetite for 2 days.,Fly Repellent Spray
1111,1111,2022/02/06 00:00:00,Wound from fencing; disinfected and bandaged.,Fly Repellent Spray
1112,1112,2023/07/21 00:00:00,Mild coughing; vitamin booster given.,Anti-inflammatory Injection
1113,1113,2021/09/24 00:00:00,Routine check-up; all vitals normal.,Vaccination (Anthrax)
1114,1114,2023/03/11 00:00:00,Mild coughing; vitamin booster given.,Vaccination (Anthrax)
1115,1115,2021/01/12 00:00:00,Mild coughing; vitamin booster given.,Multivitamin Supplement
1116,1116,2021/04/14 00:00:00,Minor infection treated; under observation.,Deworming
1117,1117,2023/10/07 00:00:00,Routine check-up; all vitals normal.,Deworming
1118,1118,2021/05/04 00:00:00,Increased weight gain; healthy condition.,Antibiotics (Oxytetracycline)
1119,1119,2020/09/07 00:00:00,Hoof trimmed and cleaned.,Vitamin B12 Injection
1120,1120,2022/09/23 00:00:00,Vaccination administered; no side effects.,Fly Repellent Spray
1121,1121,2022/02/14 00:00:00,Exhibiting signs of heat stress.,Anti-inflammatory Injection
1122,1122,2023/09/13 00:00:00,Minor cut observed on front leg.,Multivitamin Supplement
1123,1123,2021/01/11 00:00:00,Hoof trimmed and cleaned.,Antibiotics (Oxytetracycline)
1124,1124,2021/06/26 00:00:00,Minor infection treated; under observation.,Vaccination (Anthrax)
1125,1125,2024/01/24 00:00:00,Minor infection treated; under observation.,Foot Rot Treatment
1126,1126,2020/10/01 00:00:00,Increased weight gain; healthy condition.,Multivitamin Supplement
1127,1127,2024/06/27 00:00:00,Minor cut observed on front leg.,Antibiotics (Oxytetracycline)
1128,1128,2022/04/09 00:00:00,Vaccination administered; no side effects.,Deworming
1129,1129,2023/11/25 00:00:00,Hoof trimmed and cleaned.,Electrolytes Added to Water
1130,1130,2023/05/01 00:00:00,Mild coughing; vitamin booster given.,Multivitamin Supplement
1131,1131,2023/09/23 00:00:00,Minor cut observed on front leg.,Antibiotics (Oxytetracycline)
1132,1132,2024/04/13 00:00:00,Hoof trimmed and cleaned.,Tick and Flea Dip
1133,1133,2022/09/04 00:00:00,Increased weight gain; healthy condition.,Multivitamin Supplement
1134,1134,2022/01/07 00:00:00,Minor infection treated; under observation.,Tick and Flea Dip
1135,1135,2021/02/16 00:00:00,Minor cut observed on front leg.,Vitamin B12 Injection
1136,1136,2022/02/24 00:00:00,Mild coughing; vitamin booster given.,Electrolytes Added to Water
1137,1137,2020/10/12 00:00:00,Minor infection treated; under observation.,Foot Rot Treatment
1138,1138,2022/08/11 00:00:00,Exhibiting signs of heat stress.,Deworming
1139,1139,2022/11/19 00:00:00,Minor infection treated; under observation.,Antibiotics (Oxytetracycline)
1140,1140,2022/10/22 00:00:00,Minor cut observed on front leg.,Fly Repellent Spray
1141,1141,2021/02/08 00:00:00,Minor cut observed on front leg.,Vitamin B12 Injection
1142,1142,2021/03/21 00:00:00,Routine check-up; all vitals normal.,Tick and Flea Dip
1143,1143,2021/05/05 00:00:00,Wound from fencing; disinfected and bandaged.,Anti-inflammatory Injection
1144,1144,2022/04/06 00:00:00,Wound from fencing; disinfected and bandaged.,Electrolytes Added to Water
1145,1145,2020/08/14 00:00:00,Increased weight gain; healthy condition.,Vaccination (Anthrax)
1146,1146,2024/06/18 00:00:00,Exhibiting signs of heat stress.,Deworming
1147,1147,2021/05/15 00:00:00,Vaccination administered; no side effects.,Anti-inflammatory Injection
1148,1148,2022/07/11 00:00:00,Increased weight gain; healthy condition.,Vitamin B12 Injection
1149,1149,2023/11/21 00:00:00,Minor cut observed on front leg.,Electrolytes Added to Water
1150,1150,2022/09/17 00:00:00,Hoof trimmed and cleaned.,Tick and Flea Dip
1151,1151,2023/07/02 00:00:00,Increased weight gain; healthy condition.,Antibiotics (Oxytetracycline)
1152,1152,2023/08/03 00:00:00,Vaccination administered; no side effects.,Foot Rot Treatment
1153,1153,2020/07/02 00:00:00,Mild coughing; vitamin booster given.,Fly Repellent Spray
1154,1154,2021/11/09 00:00:00,Routine check-up; all vitals normal.,Vaccination (Anthrax)
1155,1155,2021/11/14 00:00:00,Wound from fencing; disinfected and bandaged.,Foot Rot Treatment
1156,1156,2023/11/22 00:00:00,Vaccination administered; no side effects.,Vaccination (Anthrax)
1157,1157,2022/10/03 00:00:00,Increased weight gain; healthy condition.,Anti-inflammatory Injection
1158,1158,2021/04/08 00:00:00,Exhibiting signs of heat stress.,Deworming
1159,1159,2022/06/11 00:00:00,Minor cut observed on front leg.,Foot Rot Treatment
1160,1160,2023/10/10 00:00:00,Vaccination administered; no side effects.,Vaccination (Anthrax)
1161,1161,2022/05/02 00:00:00,Increased weight gain; healthy condition.,Fly Repellent Spray
1162,1162,2023/01/12 00:00:00,Mild coughing; vitamin booster given.,Multivitamin Supplement
1163,1163,2022/10/08 00:00:00,Mild coughing; vitamin booster given.,Vaccination (Anthrax)
1164,1164,2024/05/11 00:00:00,Vaccination administered; no side effects.,Vaccination (Anthrax)
1165,1165,2022/07/20 00:00:00,Mild coughing; vitamin booster given.,Antibiotics (Oxytetracycline)
1166,1166,2021/07/04 00:00:00,Wound from fencing; disinfected and bandaged.,Vaccination (Anthrax)
1167,1167,2022/07/01 00:00:00,Exhibiting signs of heat stress.,Electrolytes Added to Water
1168,1168,2023/10/09 00:00:00,Minor cut observed on front leg.,Anti-inflammatory Injection
1169,1169,2021/11/04 00:00:00,Increased weight gain; healthy condition.,Vaccination (Anthrax)
1170,1170,2021/02/20 00:00:00,Increased weight gain; healthy condition.,Vitamin B12 Injection
1171,1171,2021/05/06 00:00:00,Wound from fencing; disinfected and bandaged.,Antibiotics (Oxytetracycline)
1172,1172,2021/08/27 00:00:00,Hoof trimmed and cleaned.,Vitamin B12 Injection
1173,1173,2022/12/21 00:00:00,Minor cut observed on front leg.,Vaccination (Anthrax)
1174,1174,2022/10/13 00:00:00,Exhibiting signs of heat stress.,Foot Rot Treatment
1175,1175,2023/02/12 00:00:00,Minor infection treated; under observation.,Vaccination (Anthrax)
1176,1176,2021/06/18 00:00:00,Wound from fencing; disinfected and bandaged.,Vaccination (Anthrax)
1177,1177,2022/10/13 00:00:00,Vaccination administered; no side effects.,Vitamin B12 Injection
1178,1178,2023/05/04 00:00:00,Mild coughing; vitamin booster given.,Anti-inflammatory Injection
1179,1179,2022/10/22 00:00:00,Minor infection treated; under observation.,Anti-inflammatory Injection
1180,1180,2021/02/05 00:00:00,Increased weight gain; healthy condition.,Deworming
1181,1181,2023/09/04 00:00:00,Exhibiting signs of heat stress.,Foot Rot Treatment
1182,1182,2021/12/21 00:00:00,Hoof trimmed and cleaned.,Fly Repellent Spray
1183,1183,2021/12/22 00:00:00,Minor infection treated; under observation.,Electrolytes Added to Water
1184,1184,2022/06/04 00:00:00,Exhibiting signs of heat stress.,Electrolytes Added to Water
1185,1185,2022/08/02 00:00:00,Hoof trimmed and cleaned.,Foot Rot Treatment
1186,1186,2022/04/22 00:00:00,Exhibiting signs of heat stress.,Multivitamin Supplement
1187,1187,2023/04/16 00:00:00,Hoof trimmed and cleaned.,Antibiotics (Oxytetracycline)
1188,1188,2022/09/17 00:00:00,Mild coughing; vitamin booster given.,Tick and Flea Dip
1189,1189,2020/08/20 00:00:00,Hoof trimmed and cleaned.,Multivitamin Supplement
1190,1190,2020/12/11 00:00:00,Vaccination administered; no side effects.,Vitamin B12 Injection
1191,1191,2020/12/10 00:00:00,Loss of appetite for 2 days.,Deworming
1192,1192,2023/08/09 00:00:00,Routine check-up; all vitals normal.,Vitamin B12 Injection
1193,1193,2023/03/13 00:00:00,Loss of appetite for 2 days.,Antibiotics (Oxytetracycline)
1194,1194,2023/05/02 00:00:00,Loss of appetite for 2 days.,Vitamin B12 Injection
1195,1195,2020/11/25 00:00:00,Minor cut observed on front leg.,Antibiotics (Oxytetracycline)
1196,1196,2022/12/23 00:00:00,Vaccination administered; no side effects.,Fly Repellent Spray
1197,1197,2023/12/22 00:00:00,Wound from fencing; disinfected and bandaged.,Multivitamin Supplement
1198,1198,2020/11/22 00:00:00,Mild coughing; vitamin booster given.,Multivitamin Supplement
1199,1199,2022/05/25 00:00:00,Exhibiting signs of heat stress.,Vitamin B12 Injection
1200,1200,2022/02/20 00:00:00,Increased weight gain; healthy condition.,Tick and Flea Dip
1201,1201,2021/12/05 00:00:00,Exhibiting signs of heat stress.,Multivitamin Supplement
1202,1202,2023/01/08 00:00:00,Minor infection treated; under observation.,Vitamin B12 Injection
1203,1203,2021/11/01 00:00:00,Loss of appetite for 2 days.,Tick and Flea Dip
1204,1204,2021/05/01 00:00:00,Mild coughing; vitamin booster given.,Vitamin B12 Injection
1205,1205,2020/08/04 00:00:00,Vaccination administered; no side effects.,Tick and Flea Dip
1206,1206,2021/12/19 00:00:00,Routine check-up; all vitals normal.,Anti-inflammatory Injection
1207,1207,2024/03/05 00:00:00,Minor infection treated; under observation.,Multivitamin Supplement
1208,1208,2021/10/26 00:00:00,Mild coughing; vitamin booster given.,Tick and Flea Dip
1209,1209,2022/08/09 00:00:00,Exhibiting signs of heat stress.,Fly Repellent Spray
1210,1210,2024/05/05 00:00:00,Vaccination administered; no side effects.,Antibiotics (Oxytetracycline)
1211,1211,2023/02/05 00:00:00,Minor infection treated; under observation.,Vitamin B12 Injection
1212,1212,2020/10/10 00:00:00,Mild coughing; vitamin booster given.,Vaccination (Anthrax)
1213,1213,2021/05/08 00:00:00,Wound from fencing; disinfected and bandaged.,Vaccination (Anthrax)
1214,1214,2022/09/17 00:00:00,Minor infection treated; under observation.,Antibiotics (Oxytetracycline)
1215,1215,2024/06/10 00:00:00,Minor infection treated; under observation.,Vitamin B12 Injection
1216,1216,2021/04/12 00:00:00,Routine check-up; all vitals normal.,Vaccination (Anthrax)
1217,1217,2021/10/19 00:00:00,Hoof trimmed and cleaned.,Deworming
1218,1218,2022/01/24 00:00:00,Hoof trimmed and cleaned.,Fly Repellent Spray
1219,1219,2021/06/24 00:00:00,Vaccination administered; no side effects.,Electrolytes Added to Water
1220,1220,2024/05/18 00:00:00,Wound from fencing; disinfected and bandaged.,Electrolytes Added to Water
1221,1221,2023/09/03 00:00:00,Minor infection treated; under observation.,Vitamin B12 Injection
1222,1222,2022/10/11 00:00:00,Mild coughing; vitamin booster given.,Fly Repellent Spray
1223,1223,2022/05/17 00:00:00,Minor cut observed on front leg.,Foot Rot Treatment
1224,1224,2023/09/06 00:00:00,Minor cut observed on front leg.,Foot Rot Treatment
1225,1225,2020/10/25 00:00:00,Hoof trimmed and cleaned.,Foot Rot Treatment
1226,1226,2023/08/06 00:00:00,Minor cut observed on front leg.,Vaccination (Anthrax)
1227,1227,2020/08/04 00:00:00,Mild coughing; vitamin booster given.,Foot Rot Treatment
1228,1228,2020/09/11 00:00:00,Mild coughing; vitamin booster given.,Vitamin B12 Injection
1229,1229,2020/08/08 00:00:00,Mild coughing; vitamin booster given.,Anti-inflammatory Injection
1230,1230,2021/11/16 00:00:00,Minor cut observed on front leg.,Vaccination (Anthrax)
1231,1231,2023/02/09 00:00:00,Hoof trimmed and cleaned.,Foot Rot Treatment
1232,1232,2021/10/12 00:00:00,Increased weight gain; healthy condition.,Antibiotics (Oxytetracycline)
1233,1233,2021/07/04 00:00:00,Loss of appetite for 2 days.,Tick and Flea Dip
1234,1234,2022/03/09 00:00:00,Minor cut observed on front leg.,Foot Rot Treatment
1235,1235,2024/04/03 00:00:00,Mild coughing; vitamin booster given.,Anti-inflammatory Injection
1236,1236,2023/07/25 00:00:00,Hoof trimmed and cleaned.,Foot Rot Treatment
1237,1237,2023/01/04 00:00:00,Mild coughing; vitamin booster given.,Multivitamin Supplement
1238,1238,2023/04/24 00:00:00,Mild coughing; vitamin booster given.,Foot Rot Treatment
1239,1239,2024/04/21 00:00:00,Vaccination administered; no side effects.,Anti-inflammatory Injection
1240,1240,2024/06/18 00:00:00,Vaccination administered; no side effects.,Multivitamin Supplement
1241,1241,2022/07/08 00:00:00,Vaccination administered; no side effects.,Vitamin B12 Injection
1242,1242,2024/01/22 00:00:00,Vaccination administered; no side effects.,Deworming
1243,1243,2021/11/22 00:00:00,Routine check-up; all vitals normal.,Foot Rot Treatment
1244,1244,2024/06/14 00:00:00,Wound from fencing; disinfected and bandaged.,Tick and Flea Dip
1245,1245,2022/05/11 00:00:00,Exhibiting signs of heat stress.,Vaccination (Anthrax)
1246,1246,2023/07/26 00:00:00,Wound from fencing; disinfected and bandaged.,Multivitamin Supplement
1247,1247,2023/11/13 00:00:00,Mild coughing; vitamin booster given.,Tick and Flea Dip
1248,1248,2022/09/27 00:00:00,Routine check-up; all vitals normal.,Deworming
1249,1249,2020/07/19 00:00:00,Minor infection treated; under observation.,Foot Rot Treatment
1250,1250,2022/06/13 00:00:00,Vaccination administered; no side effects.,Fly Repellent Spray
1251,1251,2024/01/08 00:00:00,Loss of appetite for 2 days.,Vaccination (Anthrax)
1252,1252,2023/02/15 00:00:00,Mild coughing; vitamin booster given.,Electrolytes Added to Water
1253,1253,2024/02/17 00:00:00,Increased weight gain; healthy condition.,Vaccination (Anthrax)
1254,1254,2021/06/27 00:00:00,Hoof trimmed and cleaned.,Antibiotics (Oxytetracycline)
1255,1255,2023/06/18 00:00:00,Mild coughing; vitamin booster given.,Tick and Flea Dip
1256,1256,2021/09/24 00:00:00,Mild coughing; vitamin booster given.,Electrolytes Added to Water
1257,1257,2021/01/04 00:00:00,Vaccination administered; no side effects.,Vaccination (Anthrax)
1258,1258,2021/08/26 00:00:00,Minor cut observed on front leg.,Vaccination (Anthrax)
1259,1259,2024/03/25 00:00:00,Routine check-up; all vitals normal.,Multivitamin Supplement
1260,1260,2021/12/17 00:00:00,Loss of appetite for 2 days.,Electrolytes Added to Water
1261,1261,2022/06/25 00:00:00,Vaccination administered; no side effects.,Fly Repellent Spray
1262,1262,2021/05/10 00:00:00,Minor cut observed on front leg.,Vitamin B12 Injection
1263,1263,2022/04/23 00:00:00,Wound from fencing; disinfected and bandaged.,Tick and Flea Dip
1264,1264,2021/12/25 00:00:00,Mild coughing; vitamin booster given.,Foot Rot Treatment
1265,1265,2024/06/13 00:00:00,Vaccination administered; no side effects.,Vaccination (Anthrax)
1266,1266,2023/07/18 00:00:00,Wound from fencing; disinfected and bandaged.,Deworming
1267,1267,2024/01/21 00:00:00,Vaccination administered; no side effects.,Fly Repellent Spray
1268,1268,2021/02/26 00:00:00,Loss of appetite for 2 days.,Electrolytes Added to Water
1269,1269,2023/04/12 00:00:00,Exhibiting signs of heat stress.,Multivitamin Supplement
1270,1270,2021/05/14 00:00:00,Vaccination administered; no side effects.,Tick and Flea Dip
1271,1271,2024/01/19 00:00:00,Minor infection treated; under observation.,Vaccination (Anthrax)
1272,1272,2023/01/14 00:00:00,Increased weight gain; healthy condition.,Anti-inflammatory Injection
1273,1273,2023/09/01 00:00:00,Hoof trimmed and cleaned.,Vitamin B12 Injection
1274,1274,2023/07/07 00:00:00,Minor cut observed on front leg.,Deworming
1275,1275,2023/01/27 00:00:00,Loss of appetite for 2 days.,Tick and Flea Dip
1276,1276,2021/01/25 00:00:00,Routine check-up; all vitals normal.,Anti-inflammatory Injection
1277,1277,2021/01/13 00:00:00,Minor cut observed on front leg.,Vaccination (Anthrax)
1278,1278,2022/05/17 00:00:00,Exhibiting signs of heat stress.,Foot Rot Treatment
1279,1279,2022/08/15 00:00:00,Minor infection treated; under observation.,Vaccination (Anthrax)
1280,1280,2022/04/13 00:00:00,Hoof trimmed and cleaned.,Antibiotics (Oxytetracycline)
1281,1281,2021/02/06 00:00:00,Hoof trimmed and cleaned.,Tick and Flea Dip
1282,1282,2022/01/24 00:00:00,Mild coughing; vitamin booster given.,Deworming
1283,1283,2024/02/19 00:00:00,Vaccination administered; no side effects.,Fly Repellent Spray
1284,1284,2022/03/01 00:00:00,Exhibiting signs of heat stress.,Vaccination (Anthrax)
1285,1285,2020/12/22 00:00:00,Exhibiting signs of heat stress.,Antibiotics (Oxytetracycline)
1286,1286,2022/06/22 00:00:00,Exhibiting signs of heat stress.,Foot Rot Treatment
1287,1287,2021/07/09 00:00:00,Minor cut observed on front leg.,Electrolytes Added to Water
1288,1288,2022/11/02 00:00:00,Loss of appetite for 2 days.,Fly Repellent Spray
1289,1289,2024/06/23 00:00:00,Minor cut observed on front leg.,Antibiotics (Oxytetracycline)
1290,1290,2023/12/18 00:00:00,Loss of appetite for 2 days.,Electrolytes Added to Water
1291,1291,2023/04/05 00:00:00,Loss of appetite for 2 days.,Fly Repellent Spray
1292,1292,2023/04/16 00:00:00,Loss of appetite for 2 days.,Deworming
1293,1293,2022/03/06 00:00:00,Increased weight gain; healthy condition.,Deworming
1294,1294,2023/10/15 00:00:00,Hoof trimmed and cleaned.,Electrolytes Added to Water
1295,1295,2021/02/19 00:00:00,Vaccination administered; no side effects.,Fly Repellent Spray
1296,1296,2021/02/12 00:00:00,Loss of appetite for 2 days.,Fly Repellent Spray
1297,1297,2023/11/08 00:00:00,Increased weight gain; healthy condition.,Vitamin B12 Injection
1298,1298,2023/05/06 00:00:00,Vaccination administered; no side effects.,Antibiotics (Oxytetracycline)
